Direction,coded_direction,IWZ,Latitude,Longitude,Name,SegmentLength,Group,Group_new,ID,Linear-Reference,order,ProjectName,Portable,APS,Device,GID
NB,1,0,41.28469,-95.866463,CBDS 44 NB,0.45,i,Group 5 - 4.1 - I29,48,56.78,23,Project 4.1 - I-29,0,0,Sensor,60144
SB,2,0,41.286879,-95.868351,CBDS 45 SB,0.485,i,Group 5 - 4.1 - I29,49,56.85,26,Project 4.1 - I-29,0,0,Sensor,60144
EB,1,0,41.231767,-95.90705,CBDS 01 I-80 EB,0.28,j,Group 5 - 4.1 - I80,2,0.5,1,Project 4.1 - I-80,0,0,Sensor,56840
WB,2,0,41.231767,-95.90705,CBDS 01 I-80 WB,0.54,j,Group 5 - 4.1 - I80,3,0.5,1,Project 4.1 - I-80,0,0,Sensor,56840
EB,1,0,41.231883,-95.89085,CBDS 08 EB_2,0.545,j,Group 5 - 4.1 - I80,6,1.06,2,Project 4.1 - I-80,0,0,Sensor,56841
WB,2,0,41.232467,-95.883072,I-80 CBDS 55 WB,0.85,j,Group 5 - 4.1 - I80,8,1.58,2,Project 4.1 - I-80,0,0,Sensor,56842
EB,1,0,41.23225,-95.883063,I-80 CBDS 55 EB,0.53,j,Group 5 - 4.1 - I80,9,1.59,3,Project 4.1 - I-80,0,0,Sensor,56842
EB,1,0,41.232142,-95.875,I-80 CBDS 56 EB,0.38,j,Group 5 - 4.1 - I80,11,2.12,4,Project 4.1 - I-80,0,0,Sensor,56843
WB,2,0,41.232329,-95.874076,I-80 CBDS 58 WB,0.385,j,Group 5 - 4.1 - I80,13,2.2,3,Project 4.1 - I-80,0,0,Sensor,56843
EB,1,0,41.231947,-95.865519,CBDS 10 EB,0.365,j,Group 5 - 4.1 - I80,14,2.35,5,Project 4.1 - I-80,0,0,Sensor,56844
WB,2,0,41.232376,-95.865519,CBDS 10 WB,0.4,j,Group 5 - 4.1 - I80,15,2.35,4,Project 4.1 - I-80,0,0,Sensor,56844
EB,1,0,41.2319,-95.857217,CBDS 12 EB,0.3,j,Group 5 - 4.1 - I80,20,2.85,6,Project 4.1 - I-80,0,0,Sensor,56845
WB,2,0,41.2319,-95.857217,CBDS 12 WB,0.025,j,Group 5 - 4.1 - I80,21,2.85,5,Project 4.1 - I-80,0,0,Sensor,56845
EB,1,0,41.232008,-95.854736,I-80 CBDS 57 EB,0.1,j,Group 5 - 4.1 - I80,24,2.95,7,Project 4.1 - I-80,0,1,Sensor,#N/A
WB,2,0,41.232381,-95.858761,CBDS-59-WB,0.25,j,Group 5 - 4.1 - I80,17,3,6,Project 4.1 - I-80,0,0,Sensor,56845
EB,1,0,41.231917,-95.851933,CBDS 14 EB,0.25,j,Group 5 - 4.1 - I80,25,3.05,8,Project 4.1 - I-80,0,0,Sensor,56845
WB,2,0,41.231917,-95.851933,CBDS 14 WB,0.3,j,Group 5 - 4.1 - I80,27,3.05,7,Project 4.1 - I-80,0,0,Sensor,56845
EB,1,0,41.231984,-95.845409,CBDS 17 I-80 EB,0.225,j,Group 5 - 4.1 - I80,28,3.45,9,Project 4.1 - I-80,0,0,Sensor,0
WB,2,0,41.231984,-95.845409,CBDS 17 I-80 WB,0.715,j,Group 5 - 4.1 - I80,29,3.45,8,Project 4.1 - I-80,0,0,Sensor,56846
EB,1,0,41.2305,-95.843583,CBDS 16 EB Thru to I-80 EB,0.515,j,Group 5 - 4.1 - I80,32,3.5,10,Project 4.1 - I-80,0,0,Sensor,56846
